name,uuid,power_state,vcpus,memory_gb,vm_age_days,days_since_power_on,power_on_count,last_power_on,unused_score,unused_reasons
PNO-CX-N-E0171,1744fc50-0309-443e-a7de-72f1fde768c0,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0197,13c8945e-77a9-4c3a-86c6-53eb1cfa58aa,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0259,180725d5-36dc-46d5-abd1-58301148aaa5,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0250,e35f2356-b5dd-441d-8422-e8f10051d77e,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0251,99bd988f-8b17-4ee8-8b02-47cb4220e518,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0332,482d1280-ad10-458a-b83a-088e3cc4e5a2,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0287,a28e33cc-de5d-4454-b565-96290cb6216e,OFF,4,24.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0121,5db5eff0-3df6-4688-bdb2-c90f56422d84,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0001,fe15d5d7-b7de-4877-b79e-6e8e2c911747,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0039,1595cd82-328b-4d01-92f5-c7244793e052,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0104,93621a3f-96c1-480e-810e-72f011f016f2,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0048,c69b7d8d-135d-4709-83a5-0fc4b66b086a,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0259,98d35d24-2eb5-4b29-820b-3a27cdf5b623,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0181,698bc8bb-5d35-4bad-9d8a-d28066aa7354,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PRD-CTXPS-03,8ed4c6fc-f8d6-4777-94eb-75d0bc1b81b1,OFF,8,64.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0266,62a21dde-c8f6-4c30-a1ab-d72d52ba51ec,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0223,848256e2-0eff-492e-b0f6-58f0f3284639,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0341,ecfea2f9-33cf-4654-9a42-5a4ab78b05d8,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0051,1f6736ce-54aa-4fb8-8cc2-8cd9993a160e,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
NTNX-W2022-Template,ce23195c-d7ee-4712-90b8-63cdbfdc0cf1,OFF,2,8.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0135,7c63cd32-0977-41ca-a9e6-68cf40b738e0,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0269,f1654249-4f52-428f-a03f-d4dc3109a4de,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0327,b100b100-1c6f-42b8-9686-50f049572cc0,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
